Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-08-19,Bills,Online,Purpose painting executive its.,416.74,20.84
2024-08-26,Entertainment,Online,Happy vote especially image believe capital.,166.05,8.3
2024-08-08,Subscriptions,Cash,Edge happen trial quickly seek admit.,252.68,0.0
2024-08-07,Entertainment,Cash,Cold upon physical sound treatment simple hair create.,285.09,0.0
2024-08-14,Subscriptions,Cash,Full make continue.,389.77,0.0
2024-08-14,Transportation,Cash,His agree gun.,292.45,0.0
2024-08-05,Travel,Cash,Water perform future star.,301.12,0.0
2024-08-25,Groceries,Cash,Say hold region eight discuss shoulder want.,482.48,0.0
2024-08-09,Subscriptions,Online,Life unit born although region.,361.36,0.0
2024-08-19,Transportation,Online,Person plant real imagine performance picture open same.,249.33,0.0
2024-08-21,Subscriptions,Cash,Live in dark institution full get build.,285.23,0.0
2024-08-26,Entertainment,Cash,Make within best property.,494.69,0.0
2024-08-25,Entertainment,Online,During step Congress into.,356.69,0.0
2024-08-17,Food,Cash,Agent movie fear religious decision employee.,302.08,15.1
2024-08-12,Groceries,Online,Audience deep war pretty board difference with.,21.54,1.08
2024-08-02,Bills,Online,Nothing very almost himself section piece tough.,106.81,0.0
2024-08-16,Subscriptions,Online,Relationship machine travel word.,237.2,0.0
2024-08-18,Bills,Cash,Film sense dog small.,331.76,0.0
2024-08-10,Entertainment,Cash,He record law could.,210.26,0.0
2024-08-22,Entertainment,Cash,Range board lawyer itself plant foreign avoid.,10.03,0.0
2024-08-12,Food,Cash,Building make arrive would chance level wait.,57.25,2.86
2024-08-26,Food,Online,Level husband movement.,139.41,0.0
2024-08-18,Subscriptions,Online,Job meeting result prevent rather.,27.72,1.39
2024-08-17,Subscriptions,Cash,Different law man at guess owner whom.,384.91,0.0
2024-08-01,Groceries,Online,Leg condition part anything town relationship.,120.59,0.0
2024-08-01,Subscriptions,Cash,Music smile account another already.,123.46,0.0
2024-08-10,Transportation,Cash,Effect cost at town make.,373.89,18.69
2024-08-22,Groceries,Cash,Ago health sport two style young.,370.33,18.52
2024-08-21,Subscriptions,Online,Attorney represent nature team them today.,274.37,13.72
2024-08-05,Subscriptions,Online,Give in write wonder subject hard mother.,94.8,0.0
2024-08-17,Travel,Cash,Rich before report.,124.04,0.0
2024-08-05,Groceries,Cash,Technology hold bag interest health house international.,480.8,0.0
2024-08-05,Groceries,Online,Middle animal too defense daughter seek.,72.21,0.0
2024-08-05,Groceries,Cash,Can agreement television third.,92.2,0.0
2024-08-04,Transportation,Cash,One much writer together concern action leg.,171.3,0.0
2024-08-02,Transportation,Online,Food training leg forward nature know which.,187.13,9.36
2024-08-10,Subscriptions,Online,Current anyone believe price media learn real kind.,69.14,0.0
2024-08-11,Groceries,Online,Under everything check skill people television figure.,73.03,3.65
2024-08-16,Entertainment,Online,Check hundred mother.,121.47,0.0
2024-08-03,Bills,Online,Check thank speak day forget.,375.82,0.0
2024-08-04,Entertainment,Cash,Off painting former stand moment to tell tree.,451.11,0.0
2024-08-28,Transportation,Online,Might wide amount president first evidence.,417.36,0.0
2024-08-18,Bills,Cash,Morning war worker personal.,328.14,0.0
2024-08-26,Entertainment,Cash,Accept state risk car alone I.,303.58,0.0
2024-08-03,Transportation,Cash,Technology management table pick nearly right.,52.8,2.64
2024-08-11,Subscriptions,Online,Strong push computer hand.,76.56,0.0
2024-08-11,Subscriptions,Cash,Young blue level possible campaign.,394.76,0.0
2024-08-04,Bills,Cash,Standard join establish his artist he.,314.48,0.0
2024-08-20,Subscriptions,Cash,Old power author day.,110.36,0.0
2024-08-02,Entertainment,Cash,Protect approach together way.,39.26,1.96
2024-08-14,Bills,Online,Store final effort determine.,354.7,0.0
2024-08-22,Bills,Online,Others drive activity ten interview.,324.89,0.0
2024-08-02,Bills,Online,Special she arrive standard stock blue.,393.41,0.0
2024-08-20,Bills,Cash,Always wear heavy so.,56.49,0.0
2024-08-05,Groceries,Cash,Place conference go charge of.,379.19,18.96
2024-08-05,Travel,Cash,Girl letter over really month military.,161.57,0.0
2024-08-21,Groceries,Online,Talk shake book social talk.,198.66,0.0
2024-08-06,Entertainment,Online,Expect bag religious maybe sign often because.,352.37,0.0
2024-08-06,Bills,Cash,Community choice add film tell all some either.,110.58,5.53
